src,trg
Cc1ccc(S(=O)(=O)N(CC(C)C)C(CO)CCCCNC(=O)CN(Cc2ccccc2[N+](=O)[O-])c2ccccc2)cc1,Cc1ccc(S(=O)(=O)N(CC(C)C)C(CO)CCCCNC(=O)CN(Cc2ccccc2[N+](=O)[O-])c2ccccc2)cc1
C=CC1CC1(NC(=O)C1CC2CN1C(=O)C(C1CCC1)NC(=O)OCCCCCc1ccc3ccnc(c3c1)O2)C(=O)NS(=O)(=O)C1CC1,C=CC1CC1(NC(=O)C1CC2CN1C(=O)C(C1CCC1)NC(=O)OCCCCCc1ccc3ccnc(c3c1)O2)C(=O)NS(=O)(=O)C1CC1
C=CC1CC1(NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)c1ccc(Oc2nc(-c3ccncc3)cc3ccccc23)cc1)C(=O)NS(=O)(=O)C1CC1,C=CC1CC1(NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)c1ccc(Oc2nc(-c3ccncc3)cc3ccccc23)cc1)C(=O)NS(=O)(=O)C1CC1
O=C(Cn1cc(COc2cccc(NC(=O)Cn3sc4ccccc4c3=O)c2)nn1)Nc1ccccc1,O=C(Cn1cc(COc2cccc(NC(=O)Cn3sc4ccccc4c3=O)c2)nn1)Nc1ccccc1
CC(C)c1ccc2c(Nc3cc(C(=O)Nc4ccc(-c5c[nH]c(C6CCCN6C(=O)C(c6ccccc6)N(C)C)n5)cc4)ccc3Sc3ccc(N)cc3)ncnc2n1,CC(C)c1ccc2c(Nc3cc(C(=O)Nc4ccc(-c5c[nH]c(C6CCCN6C(=O)C(c6ccccc6)N(C)C)n5)cc4)ccc3Sc3ccc(N)cc3)ncnc2n1
CC1(Cc2ccccc2)CC(Cc2ccccc2)N(CC(O)CC(Cc2ccccc2)C(=O)NC2c3ccccc3CC2O)C1=O,CC1(Cc2ccccc2)CC(Cc2ccccc2)N(CC(O)CC(Cc2ccccc2)C(=O)NC2c3ccccc3CC2O)C1=O
C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)c1cccc(N(C)C)n1)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1,C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)c1cccc(N(C)C)n1)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1
C=CC1CC1(NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)C)c1ccc(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)cc1)C(=O)NS(=O)(=O)c1ccccc1,C=CC1CC1(NC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)C(C)C)c1ccc(Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)cc1)C(=O)NS(=O)(=O)c1ccccc1
CC(C)(C)OC(=O)NC(Cc1ccccc1)C(O)CNCC(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(O)CNCC(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C
COc1ccc2c(=O)c3cc(N)c(N4CCN(c5ccccn5)CC4)cc3n(C)c2c1,COc1ccc2c(=O)c3cc(N)c(N4CCN(c5ccccn5)CC4)cc3n(C)c2c1
CN(C)C(=O)C(NC(=O)CNC(=O)C(=O)C1CCCCCCCCCCC(NC(=O)NC(C)(C)C)C(=O)N2CC3C(C2C(=O)N1)C3(C)C)c1ccccc1,CN(C)C(=O)C(NC(=O)CNC(=O)C(=O)C1CCCCCCCCCCC(NC(=O)NC(C)(C)C)C(=O)N2CC3C(C2C(=O)N1)C3(C)C)c1ccccc1
CC(C)CC(NC(=O)C(Cc1ccccc1)CC(O)C(CC(=O)OC(C)(C)C)Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(N)=O,CC(C)CC(NC(=O)C(Cc1ccccc1)CC(O)C(CC(=O)OC(C)(C)C)Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(N)=O
CNC(=O)NCCCC(C)(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2c(c1)OCO2,CNC(=O)NCCCC(C)(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2c(c1)OCO2
CCC(NC(=O)C(CC1CCCCC1)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)c1cnccn1)C(C)CC)C(=O)C(=O)NC(CCCCN)C(=O)O,CCC(NC(=O)C(CC1CCCCC1)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)c1cnccn1)C(C)CC)C(=O)C(=O)NC(CCCCN)C(=O)O
CC(C)(C)OC(=O)NC(Cc1cnc[nH]1)C(=O)Nc1cccc(C(c2c(O)c3c(oc2=O)CCCCCC3)C2CC2)c1,CC(C)(C)OC(=O)NC(Cc1cnc[nH]1)C(=O)Nc1cccc(C(c2c(O)c3c(oc2=O)CCCCCC3)C2CC2)c1
CS(=O)(=O)N1CCN(c2ccc(N3CCCC3=O)cc2COc2ccc(-c3c(C4CCCCC4)c4ccc5cc4n3CC(=O)NCCC=CCS(=O)(=O)NC5=O)cc2)CC1,CS(=O)(=O)N1CCN(c2ccc(N3CCCC3=O)cc2COc2ccc(-c3c(C4CCCCC4)c4ccc5cc4n3CC(=O)NCCC=CCS(=O)(=O)NC5=O)cc2)CC1
O=C1N(Cc2ccc(CO)cc2)C(Cc2ccc(F)cc2)C(O)C(O)C(Cc2ccc(F)cc2)N1Cc1ccc(CO)cc1,O=C1N(Cc2ccc(CO)cc2)C(Cc2ccc(F)cc2)C(O)C(O)C(Cc2ccc(F)cc2)N1Cc1ccc(CO)cc1
CC(C)(C)OC(=O)NC(Cc1ccccc1)CC(O)C(Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1ccccn1,CC(C)(C)OC(=O)NC(Cc1ccccc1)CC(O)C(Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1ccccn1
CCCC(NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC(C)(C)C)C1CCCCC1)C2(C)C)C(=O)C(N)=O,CCCC(NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC(C)(C)C)C1CCCCC1)C2(C)C)C(=O)C(N)=O
O=C(Nc1ccc(Cl)cc1)Nc1cc(-c2ccccc2)sc1C(=O)O,O=C(Nc1ccc(Cl)cc1)Nc1cc(-c2ccccc2)sc1C(=O)O
COC(=O)CCCOc1ccc2ccc(OCCCC(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(C(=O)OC)C(C)C)C(C)C)C(C)O)cc2c1,COC(=O)CCCOc1ccc2ccc(OCCCC(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(C(=O)OC)C(C)C)C(C)C)C(C)O)cc2c1
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C1Cc2ccc(cc2)OCCCCOc2cc3ccccc3cc2C(=O)NC(CC(N)=O)C(=O)N1,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C1Cc2ccc(cc2)OCCCCOc2cc3ccccc3cc2C(=O)NC(CC(N)=O)C(=O)N1
