standard_inchi_key,canonical_smiles
UFGNAHYYMKJYSC-UHFFFAOYSA-N,Cc1nn2c(NCc3ccccn3)c3c(nc2c1-c1ccccc1)CCC3
GHONSWTUVKSWOK-JITMHATOSA-N,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(O)CC(CSc1ccccc1)C(=O)NC1c2ccccc2CC1O
GPZYYYGYCRFPBU-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccc(O)cc12
RVJUHENLPLOUPV-VMPITWQZSA-N,C(=Cc1ccccc1)CSc1nnc(-c2ccncc2)n1Cc1ccco1
GWSKSDJYGIEIHS-IOWSJCHKSA-N,CCCNC(=O)c1cc(NC)cc(C(=O)NC(Cc2ccccc2)C(O)CN(CC(C)C)S(=O)(=O)c2ccc(OC)cc2)c1
NOIISULKBZHFTG-UHFFFAOYSA-N,Cc1occc1C(=O)NCCc1ccc(Cl)cc1
YAKLVQLNBNXLLB-MLPSMZPESA-N,CC(C)C(NC(=O)C(OCc1ccccc1)C(O)C(O)C(OCc1ccccc1)C(=O)NC1c2ccccc2CC1O)C(=O)NCCF
IXYZZXAGCLHERT-UHFFFAOYSA-N,CCCCn1c(SCC(=O)OCC)nc2c1c(=O)[nH]c(=O)n2C
YDRIYWMIRZADEV-UHFFFAOYSA-N,O=C1CC(c2ccccc2F)c2cc3c(cc2N1)CCC3
QJGUTMFKTDMGKB-UHFFFAOYSA-N,O=C(OCc1ccc2c(c1)OCO2)c1ccc(S(=O)(=O)N2CCCC2)cc1
YZVOFVFKOCNLTQ-UHFFFAOYSA-N,Clc1cccc(Nc2ncnc3c2cnn3-c2ccccc2)c1
PYDVBBSTPPYHFW-UHFFFAOYSA-N,COc1ccc(OC)c(C(=O)NC(CC(N)=O)c2ccc(N3CCC(N4CCCC4)CC3)c([N+](=O)[O-])c2)c1
JFHRQAGLXHCZAR-UHFFFAOYSA-N,O=C(Nc1cccc(O)c1)c1c(O)nc2ccccc2c1O
RZWXIPHSWSQCFB-UHFFFAOYSA-N,Cc1cc(C(=O)Nc2ccc3ccccc3c2)oc1C
ZVQOIHCMOOXLBI-SZUYGLCUSA-N,NC(=O)C1CC2(CC(c3cccc(NC(=O)CC(c4ccccc4)c4ccccc4)c3)=NO2)CN1C(=O)C(c1ccccc1)c1ccccc1
USTWITPKMQGLGY-UHFFFAOYSA-N,Cc1ccc(-n2nnnc2C(Cl)(Cl)c2nnnn2-c2ccc(C)cc2)cc1
DWZAJFZEYZIHPO-UHFFFAOYSA-N,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1
ZRMMNQBNRSDWEQ-UHFFFAOYSA-N,COC(=O)CSc1nnc(-c2cccc(NC(=O)c3ccc(C)cc3)c2)n1C
NLDQVMDBRMGUMI-UHFFFAOYSA-N,CCN1c2ncccc2C(=O)Nc2c(C)cc(NCCO)nc21
WWBRQQGRMCJFJV-UHFFFAOYSA-N,Cc1ccc(N(Cc2cc3ccc(C)cc3nc2O)C(=O)c2cccs2)cc1
NIDRYBLTWYFCFV-PZROIBLQSA-N,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3O
OARQEMCHUOOBCU-UHFFFAOYSA-N,O=c1cc(Sc2cccc(-c3ccc(F)cc3)c2)[nH]c(=O)n1O
IZSPFYDADNGRJZ-WDDWZANVSA-N,CCC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OCCNC(=O)OC(C)(C)C)S(=O)(=O)c1ccc(OC)cc1
MJKRNDOUORKWTH-UHFFFAOYSA-N,Cc1nn(-c2ccccc2)c(C)c1C(=O)Nc1nnc(-c2ccco2)o1
GMMUQIXBLFIMTE-UHFFFAOYSA-N,COc1ccc(OCc2ccnc3c2NC(=O)c2cccnc2N3C2CC2)cc1
RJAJNEQIFMJEIK-UHFFFAOYSA-N,COC(=O)Nc1ccc2[nH]c(C(=O)N3CCN(c4ncccc4NC(C)C)CC3)cc2c1
NKNFBNILPKUTPF-UHFFFAOYSA-N,Cc1ccc(-n2c(=O)cc(N3CCN(C(=O)c4ccco4)CC3)[nH]c2=O)cc1
BNBSOCAORFNVIN-OVCLIPMQSA-N,COc1cccc(C=NNc2snc(SC)c2C#N)c1
AAQWEFPVYMMSCH-UHFFFAOYSA-N,Oc1nc(C(F)(F)F)nc2ccc3ccccc3c12
RFSJPRZOBLMLCJ-RIYZIHGNSA-N,O=C(NN=Cc1ccc([N+](=O)[O-])s1)C(O)c1ccccc1
QDTYIVZFHWTUGU-UHFFFAOYSA-N,CC(C)c1ccc(N2C(=O)CC(Sc3nc4ccccc4o3)C2=O)cc1
UWEKUCDZSKHIFZ-AQTBWJFISA-N,Cc1ccc(NC(=CC(=O)C(=O)OC(C)C)c2ccccc2)cc1
IARJWTXQXAZPBT-UHFFFAOYSA-N,COc1ccc(C(=N)NOC(=O)CC2CCCCC2)cc1OC
OKVOLJIDJVUMTE-FHWLQOOXSA-N,CC(C)C(NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)c1ccccc1)C(N)=O
CSBMGDPAVLXYNE-UHFFFAOYSA-N,Oc1ccccc1Nc1ccccn1
OKZVXVKBBXDVPZ-UHFFFAOYSA-N,O=C(C1CCN(S(=O)(=O)N2CCC3(CC2)OCCO3)CC1)N1CCCCC1
JWOSTXNRDXXHPH-UHFFFAOYSA-N,Cc1cc(=O)n(-c2ccc3ccccc3n2)[nH]1
IYNANDLXMWZGBU-UHFFFAOYSA-N,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(N)ccc3[nH]2)CC1
DLJAIAYKXYBOQM-UHFFFAOYSA-N,COc1ccc(NC(=O)Cc2c[nH]c3ccccc23)cc1S(=O)(=O)N1CCCCC1
MMCAIXPOYQOWCP-BLLLJJGKSA-N,CCC(NC(C)c1cnc[nH]1)c1ccc(Cl)c(C(=O)c2cccnc2)c1F
KBNMIWIKBPXKCG-UHFFFAOYSA-N,CC(=O)c1cc(C#N)c(Oc2cccc(C(F)(F)F)c2)nc1C
JMFUQJLROULNKY-UHFFFAOYSA-N,COc1ccc2c(c1)c1ncn(Cc3ccco3)c(=O)c1n2C
PRVRRPWEKODSTG-UHFFFAOYSA-N,CCN(CC)S(=O)(=O)c1ccc(Cl)c(NC(=O)COC(=O)c2ccc([N+](=O)[O-])o2)c1
WWYYRYOASAVIDJ-UHFFFAOYSA-N,Cc1cccc(NC(=O)C2CCCN(c3nc(C)cc(C)n3)C2)c1
FYZSTQBJIYNWIC-UHFFFAOYSA-N,COC(=O)c1cc2ccc(O)c(O)c2cn1
HUKJJDIFISFPGO-UHFFFAOYSA-N,CCCNC(=O)c1cnc(Nc2ccc(C#N)cc2)cc1Oc1c(C)cc(C#N)cc1C
CEWFYUOIDMFKFN-UHFFFAOYSA-N,C=CCN1CC(c2nc3ccccc3n2Cc2cccc3ccccc23)CC1=O
RQCBHOWKKSRYHL-UHFFFAOYSA-N,CN1c2ccc([N+](=O)[O-])cc2C(C)(C)C12C=Cc1cc(C(=O)O)ccc1O2
BRYDRWIWFWNPID-WISYIIOYSA-N,CC1Oc2cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)C(C)C6=O)c(O)cc(O)c3c(O)c2OC(=O)C1C
ZMUPFTILIONKHM-UHFFFAOYSA-N,COC(=O)c1c(N)c(C#N)c2n1CCCCC2
