standard_inchi_key,canonical_smiles
IVHBOUQRQOAGSH-XNVUGOGWSA-N,CC(C)(C)NC(=O)C1CCCN1C(=O)C(O)C1Cc2ccc(cc2)OCCCOc2cc3ccccc3cc2C(=O)NC(CC(N)=O)C(=O)N1
AHAVBKNGKPWROK-ZDQTVZPGSA-N,O=C(NC1c2ccccc2CC1O)C(CC(O)C(OCc1ccccc1)C(=O)NC1c2ccccc2CC1O)OCc1ccccc1
WSWUKLFQIUTAHS-UBZRYBMJSA-N,CC(C)C(NC(=O)N1CCN(Cc2ccccc2)CC1)C(=O)NC(Cc1ccccc1)C(O)C(O)C(Cc1ccccc1)NC(=O)C(NC(=O)N1CCN(Cc2ccccc2)CC1)C(C)C
MHLQADKLDLZTOZ-UHFFFAOYSA-N,OCC12C(c3ccccc3)C3(CO)C4N(Cc5ccccc5)C1C1(CO)C(c5ccccc5)C4(CO)C3N(Cc3ccccc3)C21
BFUBIKTUZNMXLM-PMERELPUSA-N,CC(C)CCN(C(CO)CCCCNC(=S)N(Cc1ccc(F)cc1)Cc1ccc2c(c1)OCCO2)S(=O)(=O)c1ccc(N)cc1
NVANLDBYIPHGQE-WZJLIZBTSA-N,Nc1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ncc[nH]4)c3)C(Cc3ccccc3)C(O)C(O)C2Cc2ccccc2)c1
SWJSIAZKWPALMA-JBJNICSNSA-N,CS(=O)c1ccc(CC(CC(O)C(Cc2ccccc2)NC(=O)OC(C)(C)C)C(=O)NC2c3ccccc3CC2O)cc1
GEMYIFORRJDDAH-SHUZPENHSA-N,CC(C)CN(C(CO)CCCCNC(=O)C(NC(=O)c1ccncc1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1
OSOYFOSSMPAFSJ-BLLLJJGKSA-N,CCC(NC(C)CC(N)=O)c1ccc(OC)c(C(=O)c2cccc(F)c2)c1F
ZDENVYHYJFERMP-UHFFFAOYSA-N,Cc1cc(SC2=C(O)CC(C)(CCc3ccc(O)cc3)OC2=O)c(C(C)(C)C)cc1OS(=O)(=O)N(C)C
NBFISOYBQOHDBG-TWLDFKIOSA-N,NCCCCC(NC(=O)C(CCCN=C(N)N)NC(=O)c1ccccc1)C(=O)NC(C(N)=O)c1ccc(OCC(=O)c2ccccc2)cc1
QRKWQCOYAKDIIZ-UHFFFAOYSA-N,Cc1cc(SC2=C(O)CC(CCc3ccccc3)(c3ccccc3)OC2=O)c(C(C)(C)C)cc1OCCO
HQRKMUROFBZLPB-UHFFFAOYSA-N,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3cc4c(cn3)CC(C)n3c-4cc4c(F)cccc43)cc12
BQXDWZQXORQBLV-HNFUVXBTSA-N,C=CC1CC1(NC(=O)C1CC(Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)P(=O)(O)O
YWQLFMBBEMISKM-MIVXPEEVSA-N,CC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NCC=CCN=C(N)N
SDTXIEFGHLSOKG-UHFFFAOYSA-N,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N3CCNC3=O)c(-c3ccc4c(n3)-c3cc5c(F)cccc5n3CO4)cc12
JAXFJECJQZDFJS-XHEPKHHKSA-N,CC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(N)CC(=O)O)C(=O)NC(C(=O)N1CCCC1C(=O)NC(CCc1ccc(F)cc1)B1OC2CC3CC(C3(C)C)C2(C)O1)C(C)C
BFBPNEURDXTVAR-QFPAVHGHSA-N,CCC(C)C(NC(=O)C(CC(=O)O)NC(=O)C(C)NC(C)=O)C(=O)NC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)O)C(C)C
CISDWVKMRZAQFM-ITHCFKITSA-N,COc1cc2nc(-c3ccccc3)cc3c2cc1C=CCC(C)(C)COC(=O)NC1CCCCCC=CC2CC2(C(=O)NS(=O)(=O)C2CC2)NC(=O)C2CC(CN2C1=O)O3
SBAGAYBMAVRFFB-AZLAQIILSA-N,CN(CC(NC(=O)NC1CCCCCCCCCC(C(=O)C(=O)NCC2CC2)NC(=O)C2C3C(CN2C1=O)C3(C)C)C(C)(C)C)S(=O)(=O)c1cccs1
NLFSULIAFLPDQL-CIXVBMNJSA-N,CC(C)C1NC(=O)CCCCCCOc2ccc(cc2)CC(C(O)CN2CC3CCCCC3CC2C(=O)NC(C)(C)C)NC1=O
LYORJIOKWZNVIQ-NHCDVYRPSA-N,CC(C)C(NC(=O)NC(C(=O)N1CC2C(C1C(=O)NC(CC1CC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C)C(=O)C1CCC1
KFMGHZLWRUNPSU-UHFFFAOYSA-N,Cc1cc2nc(OCCNC(=S)Nc3ccc(Br)cn3)c3cccn3c2cc1C
FBRXDKLZRKHALG-RWCYOBCKSA-N,C=CCC(NC(=O)C1CC(Cc2ccccc2)c2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)C2(C)O1
BZDQGKJBMUHQGC-WZJLIZBTSA-N,CSc1ccc(CC2C(O)C(O)C(Cc3ccc(SC)cc3)N(Cc3ccccc3)C(=O)N2Cc2ccccc2)cc1
UQGKTXWQLDEDTH-FBMGVBCBSA-N,CCCSc1nnc(N2C(=O)C(=O)C(=C(O)c3ccc(Cl)cc3)C2c2ccc(Cl)cc2)s1
MRJKGUKCBLDDAY-XBTFFUDKSA-N,C=CC1CC1(NC(=O)C1CC2CN1C(=O)C(C(C)(C)C)NC(=O)OCCCC=Cc1cccc3c1CN(CC3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1
VLCHKLWDNXNIPB-VURMDHGXSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)CC(O)C2CCCCC=CCOc3c(O)cccc3C(=O)N2)cc1
OVNIJRNESOFICF-WWNOJSEBSA-N,CCC(C)C(NC(=O)C(C(C)C)C(O)C(O)C(CC1CCCCC1)NC(=O)c1ccccc1OCOc1ccccc1)C(=O)NCc1nc2ccccc2[nH]1
MXLMCJDWRDDYKD-QTWNWOHFSA-N,CCCC(NC(=O)C1CC2CN1C(=O)C(C1CCCCC1)NC(=O)Cc1cccc(c1)OCCCO2)C(=O)C(=O)NCC(=O)OCc1ccccc1
KLZXVNDJYATJRZ-KRWDZBQOSA-N,COc1ccc(C(N)C2CC2)c(F)c1C(=O)c1cccc(F)c1
UMCFFCUPPULGFJ-UHFFFAOYSA-N,COc1cc(OC)c2c(=O)c3cc(N)c(N4CCN(c5ccc(C(F)(F)F)cn5)CC4)cc3n(C)c2c1
YDXWVSNLNBSYOF-PZNJWVMQSA-N,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)OC1CS(=O)(=O)C1
YHDUTAZHCZODDF-LKNUUUOZSA-N,CCC(C)C1NC(=O)C(C(N)CC(O)C(Cc2ccccc2)NC(=O)OC(C)(C)C)Cc2ccc(cc2)OCCCNC1=O
FNALYCUTJXJQFU-LGJNPRDNSA-N,COc1cc(C=NNC(=O)c2cc3cc([N+](=O)[O-])ccc3o2)c(C)cc1OCc1ccc([N+](=O)[O-])cc1
UEFPFYCXDPPCEN-UHFFFAOYSA-N,CNC(=O)c1c(-n2ccc(C)cc2=O)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5c(F)cccc5n3CO4)cc12
HZZGWKOBCQTHHC-QKQHLIOXSA-N,CCOC(=O)c1cccc(NC(=O)NC2(C)CC(C(=O)NC(CC)B3OC4C5CC(CC4(C)O3)C5(C)C)n3c2ncc(NCc2cccc(C(F)(F)F)c2)c3=O)c1
FEICASSQSGPGGQ-QQGWDPLKSA-N,O=C(Cc1ccccn1)c1cccc(CN2C(=O)N(Cc3ccc4[nH]ncc4c3)C(Cc3ccccc3)C(O)C(O)C2Cc2ccccc2)c1
YZWLYNHOLOBYER-XAMHVCGRSA-N,C=CC1CC1(NC(=O)C1CC(Oc2cc(-c3csc(NC(C)=O)n3)nc3cc(OC)ccc23)CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)O
DQRYTLAAUSHTEQ-UHFFFAOYSA-N,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3c(F)c5ccccc5n3CO4)cc12
KPIUWGSBWLSYCP-QFRZKHGUSA-N,C=CCNC(=O)C(=O)C(CCC)NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC(COC(=O)NCC(C)C)C(C)(C)C)C1(C)CCCCC1)C2(C)C
GBGNQOSPNHQALW-CEWIDEQNSA-N,O=C(NC1c2ccccc2OCC1O)C(Cc1cccnc1)CC(O)CN1CCN(Cc2cc3cccc(Cl)c3o2)CC1C(=O)NCC(F)(F)F
HKIRXDARVDUJOP-LQLHWDHISA-N,CC(C)C(NC(=O)OCc1ccccn1)C(=O)NC(Cc1ccccc1)C(O)C(O)C(Cc1ccccc1)NC(=O)C(NC(=O)OCc1ccccn1)C(C)C
RSCKQLXYDNKCID-UHFFFAOYSA-N,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(c3)-c3cc5ccccc5n3CC(N(C)CCO)CO4)cc12
RXKFAJJLZRGLPH-WVWIJVSJSA-N,CCC1CC1(NC(=O)C1CC(Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1
